BrierRandom,QuestionId,sample,RepRandom,best
0.0262557065658717,48,10,-0.50200511032,5
0.395315628318677,49,1,-0.4875,5
0.403293910215244,49,2,-0.48549488968,5
0.387207446252528,49,3,-0.4875,5
0.377746081725669,49,4,-0.4875,5
0.377746081725669,49,5,-0.4875,5
0.352624564045384,49,6,-0.50200511032,5
0.395315628318677,49,7,-0.4875,5
0.395315628318677,49,8,-0.4875,5
0.395315628318677,49,9,-0.4875,5
0.377746081725669,49,10,-0.4875,5
0.253501143627745,50,1,-0.5,5
0.121967732507444,50,2,-0.4875,5
0.297536773953481,50,3,-0.48549488968,5
0.342175246426172,50,4,-0.5,5
0.281481261259428,50,5,-0.48549488968,5
0.325672099210819,50,6,-0.48549488968,5
0.30049295465769,50,7,-0.48549488968,5
0.119470927109841,50,8,-0.4875,5
0.154559815222094,50,9,-0.4875,5
0.138659981148842,50,10,-0.50200511032,5
0.357365133865929,56,1,-0.48549488968,5
0.456934070864146,56,2,-0.5,5
0.361027291343646,56,3,-0.50200511032,5
0.531285917003455,56,4,-0.4875,5
0.329417495545455,56,5,-0.5,5
0.329827574672323,56,6,-0.50200511032,5
0.348011600367612,56,7,-0.5,5
0.478295439665774,56,8,-0.4875,5
0.348137084741954,56,9,-0.50200511032,5
0.349475959213225,56,10,-0.5,5
0.0104248396572118,65,1,-0.46482292146,5
0.012546344036236,65,2,-0.5,5
0.0018194007224234,65,3,-0.5,5
0.00572689043781869,65,4,-0.45763293652,5
0.0123835793084434,65,5,-0.46617057158,5
0.0136052616866167,65,6,-0.4914734994,5
0.0225439062529071,65,7,-0.45199924568,5
0.00593971442266081,65,8,-0.45039521732,5
0.00972439957673002,65,9,-0.46096850302,5
0.00263818528794376,65,10,-0.5,5
0.0696278076829969,66,1,-0.17551412896,5
0.0637082051120381,66,2,-0.10911572472,5
0.2146719190122,66,3,-0.33781778076,5
0.0620140767654553,66,4,-0.06156878772,5
0.0712661450417171,66,5,-0.18283657298,5
0.0897130613971032,66,6,-0.25265253054,5
0.0916653314211404,66,7,-0.21688607194,5
0.0404456641258461,66,8,-0.12119022972,5
0.0748031448493912,66,9,-0.29848374876,5
0.0773052070114298,66,10,-0.19216594018,5
0.284799493885092,71,1,-0.4875,5
0.359532517714315,71,2,-0.5,5
0.324529882898791,71,3,-0.50200511032,5
0.359290206229586,71,4,-0.5,5
0.315881106250567,71,5,-0.4875,5
0.340595867062359,71,6,-0.5,5
0.351368061737451,71,7,-0.5,5
0.347613674835385,71,8,-0.50200511032,5
0.318701671418895,71,9,-0.5,5
0.329510686645128,71,10,-0.5,5
0.342062288352187,72,1,-0.48549488968,5
0.356678387646864,72,2,-0.48549488968,5
0.356678387646864,72,3,-0.48549488968,5
0.452236861450297,72,4,-0.5,5
0.475313577090797,72,5,-0.5,5
0.36622114804565,72,6,-0.48549488968,5
0.469698830172599,72,7,-0.5,5
0.528330646758937,72,8,-0.5,5
0.292542910010325,72,9,-0.48549488968,5
0.324880805614644,72,10,-0.48549488968,5
0.050974436315105,102,1,-0.5,5
0.020724844209529,102,2,-0.50200511032,5
0.0285778179274108,102,3,-0.48549488968,5
0.0227598607208969,102,4,-0.50200511032,5
0.023292268758594,102,5,-0.48549488968,5
0.0156828648006787,102,6,-0.5,5
0.0416399047348113,102,7,-0.5,5
0.0349162299624362,102,8,-0.4875,5
0.0167409883241295,102,9,-0.50200511032,5
0.0300012289505068,102,10,-0.5,5
0.409303378557954,106,1,-0.5,5
0.209739090240777,106,2,-0.48549488968,5
0.364130466044911,106,3,-0.5,5
0.377796076512547,106,4,-0.48549488968,5
0.387560935905952,106,5,-0.5,5
0.405017822382949,106,6,-0.5,5
0.435255935572762,106,7,-0.48549488968,5
0.362346779659648,106,8,-0.50200511032,5
0.410144963776447,106,9,-0.5,5
0.519405429491445,106,10,-0.5,5
0.0748810734024758,107,1,-0.46482292146,5
0.125559561392314,107,2,-0.5,5
0.101267102812994,107,3,-0.47899424736,5
